input_path,output_path,status,line_segments,width,height,message
data/samples/web_lane_images/wikimedia_batch/web_lane_0033_unofficial_lane_markings_barrack_road_exeter_geo.jpg,screenshots/web_lane_batch/0036_wikimedia_batch_web_lane_0033_unofficial_lane_markings_barrack_road_exeter_geo.png,PASS,880,960,1280,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0034_lane_markings_on_peace_bridge_calgary.jpg,screenshots/web_lane_batch/0037_wikimedia_batch_web_lane_0034_lane_markings_on_peace_bridge_calgary.png,PASS,378,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0035_road_marking_lrm_20231117_122637.jpg,screenshots/web_lane_batch/0038_wikimedia_batch_web_lane_0035_road_marking_lrm_20231117_122637.png,PASS,26,960,640,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0036_road_markings_1190376_patrick_s_bridge_cork_irel.jpg,screenshots/web_lane_batch/0039_wikimedia_batch_web_lane_0036_road_markings_1190376_patrick_s_bridge_cork_irel.png,PASS,479,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0037_bike_lane_with_adjacent_parking.jpg,screenshots/web_lane_batch/0040_wikimedia_batch_web_lane_0037_bike_lane_with_adjacent_parking.png,PASS,200,813,741,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0038_bike_lane_painted_buffer.jpg,screenshots/web_lane_batch/0041_wikimedia_batch_web_lane_0038_bike_lane_painted_buffer.png,PASS,13,694,263,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0039_road_markings_in_white_rose_lane_geograph_org_uk.jpg,screenshots/web_lane_batch/0042_wikimedia_batch_web_lane_0039_road_markings_in_white_rose_lane_geograph_org_uk.png,PASS,17,640,468,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0040_road_marking_1260824_patrick_s_bridge_cork_city.jpg,screenshots/web_lane_batch/0043_wikimedia_batch_web_lane_0040_road_marking_1260824_patrick_s_bridge_cork_city.png,PASS,200,960,1280,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0041_road_markings_1260835_patrick_s_hill_cork_city_i.jpg,screenshots/web_lane_batch/0044_wikimedia_batch_web_lane_0041_road_markings_1260835_patrick_s_hill_cork_city_i.png,PASS,169,960,1280,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0042_road_markings_on_sutton_lane_geograph_org_uk_758.jpg,screenshots/web_lane_batch/0045_wikimedia_batch_web_lane_0042_road_markings_on_sutton_lane_geograph_org_uk_758.png,PASS,128,960,640,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0043_worker_installing_thermoplastic_road_marking_usi.jpg,screenshots/web_lane_batch/0046_wikimedia_batch_web_lane_0043_worker_installing_thermoplastic_road_marking_usi.png,PASS,131,960,640,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0044_worker_installing_thermoplastic_road_marking_usi.jpg,screenshots/web_lane_batch/0047_wikimedia_batch_web_lane_0044_worker_installing_thermoplastic_road_marking_usi.png,PASS,83,960,640,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0045_workers_installing_thermoplastic_road_marking_us.jpg,screenshots/web_lane_batch/0048_wikimedia_batch_web_lane_0045_workers_installing_thermoplastic_road_marking_us.png,PASS,84,960,640,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0046_baybayin_bike_lane_marking_magsaysay_avenue_quez.jpg,screenshots/web_lane_batch/0049_wikimedia_batch_web_lane_0046_baybayin_bike_lane_marking_magsaysay_avenue_quez.png,PASS,799,960,1280,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0047_scooters_using_lane_markings_kaohsiung_taiwan_20.jpg,screenshots/web_lane_batch/0050_wikimedia_batch_web_lane_0047_scooters_using_lane_markings_kaohsiung_taiwan_20.png,PASS,102,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0048_202605_dot_pattern_pedestrian_zebra_crossing_at.jpg,screenshots/web_lane_batch/0051_wikimedia_batch_web_lane_0048_202605_dot_pattern_pedestrian_zebra_crossing_at.png,PASS,110,960,640,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0049_road_markings_on_nab_water_lane_geograph_org_uk.jpg,screenshots/web_lane_batch/0052_wikimedia_batch_web_lane_0049_road_markings_on_nab_water_lane_geograph_org_uk.png,PASS,42,960,640,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0050_2010_07_20150_6579_da_an_district_taipei_road_ma.jpg,screenshots/web_lane_batch/0053_wikimedia_batch_web_lane_0050_2010_07_20150_6579_da_an_district_taipei_road_ma.png,PASS,97,960,640,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0051_2010_07_21750_6868_da_an_district_taipei_buildin.jpg,screenshots/web_lane_batch/0054_wikimedia_batch_web_lane_0051_2010_07_21750_6868_da_an_district_taipei_buildin.png,PASS,46,960,640,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0052_2010_07_21840_6880_da_an_district_taipei_buildin.jpg,screenshots/web_lane_batch/0055_wikimedia_batch_web_lane_0052_2010_07_21840_6880_da_an_district_taipei_buildin.png,PASS,156,960,640,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0053_complex_cycle_lane_markings_geograph_org_uk_1176.jpg,screenshots/web_lane_batch/0056_wikimedia_batch_web_lane_0053_complex_cycle_lane_markings_geograph_org_uk_1176.png,PASS,89,640,426,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0054_bike_lane_markings_on_wheeler_ave_south_of_rose.jpg,screenshots/web_lane_batch/0057_wikimedia_batch_web_lane_0054_bike_lane_markings_on_wheeler_ave_south_of_rose.png,PASS,55,960,643,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0055_m_nster_drk_zentrum_f_r_transfusionsmedizin_2013.jpg,screenshots/web_lane_batch/0058_wikimedia_batch_web_lane_0055_m_nster_drk_zentrum_f_r_transfusionsmedizin_2013.png,PASS,103,960,540,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0056_d_lmen_m_nsterstra_e_2015_5738.jpg,screenshots/web_lane_batch/0059_wikimedia_batch_web_lane_0056_d_lmen_m_nsterstra_e_2015_5738.png,PASS,135,960,584,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0057_luxembourg_road_marking_110r_bus.jpg,screenshots/web_lane_batch/0060_wikimedia_batch_web_lane_0057_luxembourg_road_marking_110r_bus.png,PASS,193,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0058_bus_lane_markings_in_cardiff_both_in_welsh_and_e.jpg,screenshots/web_lane_batch/0061_wikimedia_batch_web_lane_0058_bus_lane_markings_in_cardiff_both_in_welsh_and_e.png,PASS,83,960,636,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0059_d_lmen_autobahn_43_ehemaliger_notlandeplatz_2019.jpg,screenshots/web_lane_batch/0062_wikimedia_batch_web_lane_0059_d_lmen_autobahn_43_ehemaliger_notlandeplatz_2019.png,PASS,41,960,640,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0060_d_lmen_autobahn_43_ehemaliger_notlandeplatz_2019.jpg,screenshots/web_lane_batch/0063_wikimedia_batch_web_lane_0060_d_lmen_autobahn_43_ehemaliger_notlandeplatz_2019.png,PASS,63,960,640,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0061_sidewalk_and_bus_stop_pavement_marking_439665476.jpg,screenshots/web_lane_batch/0064_wikimedia_batch_web_lane_0061_sidewalk_and_bus_stop_pavement_marking_439665476.png,PASS,75,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0062_look_bikes_pavement_marking_38216255956.jpg,screenshots/web_lane_batch/0065_wikimedia_batch_web_lane_0062_look_bikes_pavement_marking_38216255956.png,PASS,104,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0063_pedestrian_lane.jpg,screenshots/web_lane_batch/0066_wikimedia_batch_web_lane_0063_pedestrian_lane.png,PASS,883,960,1280,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0064_pedestrian_lane_2.jpg,screenshots/web_lane_batch/0067_wikimedia_batch_web_lane_0064_pedestrian_lane_2.png,PASS,52,960,1280,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0065_people_cycling_on_chevron_markings_in_harajuku.jpg,screenshots/web_lane_batch/0068_wikimedia_batch_web_lane_0065_people_cycling_on_chevron_markings_in_harajuku.png,PASS,32,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0066_bicycle_guide_arrow.jpg,screenshots/web_lane_batch/0069_wikimedia_batch_web_lane_0066_bicycle_guide_arrow.png,PASS,720,960,1280,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0067_d_lmen_m_nsterstra_e_2010_3557.jpg,screenshots/web_lane_batch/0070_wikimedia_batch_web_lane_0067_d_lmen_m_nsterstra_e_2010_3557.png,PASS,65,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0068_d_lmen_m_nsterstra_e_2010_3559.jpg,screenshots/web_lane_batch/0071_wikimedia_batch_web_lane_0068_d_lmen_m_nsterstra_e_2010_3559.png,PASS,20,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0069_d_lmen_halterner_stra_e_2012_8648.jpg,screenshots/web_lane_batch/0072_wikimedia_batch_web_lane_0069_d_lmen_halterner_stra_e_2012_8648.png,PASS,59,960,600,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0070_d_lmen_halterner_stra_e_au_erorts_2012_8790.jpg,screenshots/web_lane_batch/0073_wikimedia_batch_web_lane_0070_d_lmen_halterner_stra_e_au_erorts_2012_8790.png,PASS,185,960,640,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0071_road_marking_adult_with_child_lane_2021_budat_t.jpg,screenshots/web_lane_batch/0074_wikimedia_batch_web_lane_0071_road_marking_adult_with_child_lane_2021_budat_t.png,PASS,7,960,1381,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0072_cycle_lane_markings_belfast_2_geograph_org_uk_19.jpg,screenshots/web_lane_batch/0075_wikimedia_batch_web_lane_0072_cycle_lane_markings_belfast_2_geograph_org_uk_19.png,PASS,4,784,430,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0073_lane_markings_within_the_roundabout_geograph_org.jpg,screenshots/web_lane_batch/0076_wikimedia_batch_web_lane_0073_lane_markings_within_the_roundabout_geograph_org.png,PASS,14,640,488,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0074_d_lmen_kirchspiel_autobahn_43_richtung_lavesum_2.jpg,screenshots/web_lane_batch/0077_wikimedia_batch_web_lane_0074_d_lmen_kirchspiel_autobahn_43_richtung_lavesum_2.png,PASS,116,960,640,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0075_d_lmen_kirchspiel_autobahn_43_richtung_lavesum_2.jpg,screenshots/web_lane_batch/0078_wikimedia_batch_web_lane_0075_d_lmen_kirchspiel_autobahn_43_richtung_lavesum_2.png,PASS,145,960,640,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0076_route_shield_pavement_markings_for_interstate_8.jpg,screenshots/web_lane_batch/0079_wikimedia_batch_web_lane_0076_route_shield_pavement_markings_for_interstate_8.png,PASS,38,960,491,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0077_lane_markings_fortwilliam_roundabout_belfast_geo.jpg,screenshots/web_lane_batch/0080_wikimedia_batch_web_lane_0077_lane_markings_fortwilliam_roundabout_belfast_geo.png,PASS,124,640,372,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0078_lane_markings_knocknagoney_belfast_geograph_org.jpg,screenshots/web_lane_batch/0081_wikimedia_batch_web_lane_0078_lane_markings_knocknagoney_belfast_geograph_org.png,PASS,27,640,361,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0079_10_pavement_marking.jpg,screenshots/web_lane_batch/0082_wikimedia_batch_web_lane_0079_10_pavement_marking.png,PASS,899,960,1280,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0080_d_lmen_turnhalle_der_hermann_leeser_schule_2022.jpg,screenshots/web_lane_batch/0083_wikimedia_batch_web_lane_0080_d_lmen_turnhalle_der_hermann_leeser_schule_2022.png,PASS,26,960,540,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0081_cycle_lane_markings_hambrook_geograph_org_uk_347.jpg,screenshots/web_lane_batch/0084_wikimedia_batch_web_lane_0081_cycle_lane_markings_hambrook_geograph_org_uk_347.png,PASS,48,800,644,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0082_pavement_marking.jpg,screenshots/web_lane_batch/0085_wikimedia_batch_web_lane_0082_pavement_marking.png,PASS,545,960,1147,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0083_50_pavement_marking.jpg,screenshots/web_lane_batch/0086_wikimedia_batch_web_lane_0083_50_pavement_marking.png,PASS,550,960,1280,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0084_pavement_markings_i_283_i_83.jpg,screenshots/web_lane_batch/0087_wikimedia_batch_web_lane_0084_pavement_markings_i_283_i_83.png,PASS,205,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0085_not_the_middle_of_the_road_markings_tump_lane_wo.jpg,screenshots/web_lane_batch/0088_wikimedia_batch_web_lane_0085_not_the_middle_of_the_road_markings_tump_lane_wo.png,PASS,3,800,764,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0086_crocodile_teeth_road_markings_on_vicarage_lane_w.jpg,screenshots/web_lane_batch/0089_wikimedia_batch_web_lane_0086_crocodile_teeth_road_markings_on_vicarage_lane_w.png,PASS,35,800,494,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0087_mount_pleasant_junction_cycle_lane_and_bus_stop.jpg,screenshots/web_lane_batch/0090_wikimedia_batch_web_lane_0087_mount_pleasant_junction_cycle_lane_and_bus_stop.png,PASS,157,960,640,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0088_road_marking_1110129_dingle_peninsula_co_kerry_i.jpg,screenshots/web_lane_batch/0091_wikimedia_batch_web_lane_0088_road_marking_1110129_dingle_peninsula_co_kerry_i.png,PASS,473,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0089_road_marking_1170537_dingle_peninsula_co_kerry_i.jpg,screenshots/web_lane_batch/0092_wikimedia_batch_web_lane_0089_road_marking_1170537_dingle_peninsula_co_kerry_i.png,PASS,679,960,1280,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0090_road_marking_1170606_dingle_peninsula_co_kerry_i.jpg,screenshots/web_lane_batch/0093_wikimedia_batch_web_lane_0090_road_marking_1170606_dingle_peninsula_co_kerry_i.png,PASS,248,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0091_exclusive_lane.jpg,screenshots/web_lane_batch/0094_wikimedia_batch_web_lane_0091_exclusive_lane.png,PASS,101,592,589,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0092_protected_lane.jpg,screenshots/web_lane_batch/0095_wikimedia_batch_web_lane_0092_protected_lane.png,PASS,1306,960,1707,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0093_green_bike_lane_surface.jpg,screenshots/web_lane_batch/0096_wikimedia_batch_web_lane_0093_green_bike_lane_surface.png,PASS,321,960,899,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0094_left_hand_traffic_bike_lane.jpg,screenshots/web_lane_batch/0097_wikimedia_batch_web_lane_0094_left_hand_traffic_bike_lane.png,PASS,46,960,779,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0095_road_marking_1230861_dublin_ireland.jpg,screenshots/web_lane_batch/0098_wikimedia_batch_web_lane_0095_road_marking_1230861_dublin_ireland.png,PASS,327,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0096_road_marking_1230838_dublin_ireland.jpg,screenshots/web_lane_batch/0099_wikimedia_batch_web_lane_0096_road_marking_1230838_dublin_ireland.png,PASS,54,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0097_road_marking_1260814_patrick_s_bridge_cork_city.jpg,screenshots/web_lane_batch/0100_wikimedia_batch_web_lane_0097_road_marking_1260814_patrick_s_bridge_cork_city.png,PASS,62,960,1280,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0098_footpath_and_cycle_lane_markings_geograph_org_uk.jpg,screenshots/web_lane_batch/0101_wikimedia_batch_web_lane_0098_footpath_and_cycle_lane_markings_geograph_org_uk.png,PASS,322,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0099_202605_dot_pattern_pedestrian_zebra_crossing_at.jpg,screenshots/web_lane_batch/0102_wikimedia_batch_web_lane_0099_202605_dot_pattern_pedestrian_zebra_crossing_at.png,PASS,103,960,640,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0100_kreuzung_b1_b96_berlin_fahrbahnmarkierungen.jpg,screenshots/web_lane_batch/0103_wikimedia_batch_web_lane_0100_kreuzung_b1_b96_berlin_fahrbahnmarkierungen.png,PASS,137,960,747,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0101_cycle_lane_in_excalibur_drive_cardiff.jpg,screenshots/web_lane_batch/0104_wikimedia_batch_web_lane_0101_cycle_lane_in_excalibur_drive_cardiff.png,PASS,279,960,738,Processed successfully.
